group	id	type	basic	fixed	default	rel_min	rel_max	abs_min	abs_max	step	symbol	unit	description	notes
Simulation parameters														
	inum				100000								Number of simulated women	
	jnum			x							?		Number of simulated lifetimes per woman	Not used - not functional in the model but removing causes issues
														
Screening programme and related parameters														
	screen_strategy	select			3			1	6	1			Screening strategy	GAM model runs for all (6) base strategies
	supplemental_screening	check			0								When switched on adds MRI and ultrasound screening for women with dense breasts	
	start_age	slider			38	24	60	18	60	1		years	Age of an individual at start of simulation	Values below 24 may produce misleading results as tumours don't have enough time to develop correctly
	time_horizon			x	100			100				years	Max age in the model (100)	This can be fixed as there are some hard checks in the model
	discount_health	slider			3.5000000000000003E-2	0	0.1	0	1	0.005			Health discount rate	
	discount_cost	slider			3.5000000000000003E-2	0	0.1	0	1	0.005			Cost discount rate	
	screen_startage	slider			50	max(25,start_age)	60	18	100			years	Screen start age	
	screen_endage	slider			70	60	90	18	100			years	Screen end age	
														
Uptake														
	uptakefirstscreen	slider			0.60499999999999998	0.4	1	0	1	0.01			Probability that woman attends first screening	
	uptakeotherscreen	slider			0.85199999999999998	0.4	1	0	1	0.01			Probability that woman attends further screening (having attended first)	
	uptakenoscreen	slider			0.191	0	0.8	0	1	0.01			Probability that woman attends screening (having missed first)	
	risk_uptake	slider			1			0	1	0.01			Proportion of women who want risk predicted	
	risk_feedback	slider			1			0	1	0.01			Proportion of women who attend risk consultation	
	screen_change	slider			1			0	1	0.01			Proportion of women with high/moderate/low risk who change screening interval	
														
Cancer and all cause mortality														
	gamma_survival_1	slider	x		0.9789983854127825	gamma_survival_2		0	1	0.01			Five-year survival for stage 1 cancer	Must be decreasing, adjust units (5-yr to rate param)
	gamma_survival_2	slider	x		0.89556648575649467	gamma_survival_3	gamma_survival_1	0	1	0.01			Five-year survival for stage 2 cancer	
	gamma_survival_3	slider	x		0.72008419845076599		gamma_survival_2	0	1	0.01			Five-year survival for stage 3 cancer	
